,Name,Street,City,Location,status,sic
65256,ALL 4 U SERVICES LTD,"304 KINGSTON ROAD, ",ILFORD,IG11PH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
68399,ALNOOR TEXTILECARE LTD,"13B CRAWFORD STREET, ",LONDON,W1U6BZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
70698,ALTGOLD LIMITED,"81 BELGRAVE ROAD, ",ILFORD,IG13AL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
71400,ALWAYS BUSINESS LIMITED,"1 FRINTON ROAD, ",LONDON,E63EZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
73098,AMB & SONS LTD,"192 GREEN LANE, ",ILFORD,IG11YQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
73471,AMBER VALET DERBYSHIRE LIMITED,"130 OLD STREET, ",LONDON,EC1V9BD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
73917,AMC CLEANERS LTD,"C/O  174 BOUNCES ROAD, ",LONDON,N98LA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
74349,AMEN DRY CLEANERS LTD,"343 HARROW ROAD, ",LONDON,W93RA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
77012,AMYHILLS COMPANY LIMITED,"222B LONDON ROAD, 222B LONDON ROAD",CROYDON,CR02TF,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
79776,ANDYCLEANING LIMITED,"398A STAINES ROAD, ",FELTHAM,TW148BT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
80783,ANGELZ DRY CLEANERS LTD,"18 ARLINGTON WAY, ",LONDON,EC1R1UY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
82369,ANNA CLEANING & IRONING SERVICES LTD,"171 RINGWAY, ",SOUTHALL,UB25SU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
82987,ANNISSE LIMITED,"31 RUCKHOLT CLOSE, ",LONDON,E105NX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
83337,ANRACOO LTD,"9C THORNDIKE CLOSE, ",LONDON,SW100ST,Active,96010 - Washing and (dry-)cleaning of textile and fur products
84598,ANTONY'S LAUNDERETTES LIMITED,"60 ST PETER S STREET, LONDON",LONDON,N18JT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
86835,APOLLO DRY CLEANERS LIMITED,"4 ST JAMES STREET, ",LONDON,E177PF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
88774,AQUA CLEAN DRYCLEANING COMPANY LIMITED,"EUROPA HOUSE, HANGER LANE",LONDON,W51DP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
88833,AQUA LAUNDRY & VALET LTD,"GRIFFINS TAVISTOCK HOUSE SOUTH, TAVISTOCK SQUARE",LONDON,WC1H9LG,Liquidation,9301 - Wash & dry clean textile & fur
88937,AQUACLEAN KENSAL RISE LTD,"113 CHAMBERLAYNE ROAD, ",KENSAL RISE,NW103NS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
89989,ARAP ALI LIMITED,"DEMSA ACCOUNTS, 278 LANGHAM ROAD",LONDON,N153NP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
90337,ARC CLEANING LIMITED,"3 MONTPELIER AVENUE, ",BEXLEY,DA53AP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
90502,ARCADE DRY CLEANERS LIMITED,"18 DUCAN STREET, ",ISLINGTON,N18BW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
91011,ARCHGLEBE LTD,"AMBA HOUSE 3RD FLOOR, 15 COLLEGE ROAD",HARROW,HA11BA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
91395,ARCHWAY DRYCLEANERS LIMITED,"357 KATHERINE ROAD, LONDON",LONDON,E78LT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
91412,ARCHWAY ROAD LAUNDERETTE LIMITED,"COOPERS HOUSE, 65A WINGLETYE LANE",HORNCHURCH,RM113AT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
93529,ARISTOCRAT DRYCLEANING LIMITED,"8 NEW QUEBEC STREET, ",LONDON,W1H7DD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
94706,ARMSTRONG & BUTLER (DRY CLEANERS) LTD,"12E MANOR ROAD, ",LONDON,N165SA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
94707,ARMSTRONG & BUTLER CORPORATION LTD,"12E MANOR ROAD, ",LONDON,N165SA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
95761,ARS DRY CLEANERS LIMITED,"71 DENMARK HILL, ",LONDON,SE58RS,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
96456,ARTCLEAN LIMITED,"97 JUDD STREET, ",LONDON,WC1H9JG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
96603,ARTEMIS (HAMPSTEAD) LIMITED,"MOUNTVIEW COURT, 1148 HIGH ROAD",WHETSTONE,N200RA,Liquidation,96010 - Washing and (dry-)cleaning of textile and fur products
98287,AS FRESH AS LTD,"1ST FLOOR, 2 WOODBERRY GROVE",FINCHLEY,N120DR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
99503,ASH DRY CLEANERS LTD,"791 CRANBROOK ROAD, ",ILFORD,IG61HT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
100725,ASHTON ROAD LAUNDERETTE LIMITED,"COOPERS HOUSE, 65A WINGLETYE LANE",HORNCHURCH,RM113AT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
101895,ASOUR LTD,"8 LONG LANE, ",LONDON,N32PT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
106182,ATHENA DRY CLEANERS LTD,"36-38 CHASE ROAD, PARK ROYAL",LONDON,NW106QN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
106710,ATLANTIC CORPORATION (UK) LIMITED,"73 CORNHILL, ",LONDON,EC3V3QQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
107313,ATM CONTRACTING LIMITED,"205E QUEENS ROAD, ",LONDON,SE152NG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
108121,ATTIRE ENTERPRISE LIMITED,"101 WANSTEAD PARK ROAD, ",ILFORD,IG13TH,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
108201,ATTRILLS DRY CLEANERS LIMITED,"6TH FLOOR, AMP HOUSE, DINGWALL ROAD",CROYDON,CR02LX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
110337,AUTHENTIC FIVE STAR CLEANERS LTD,"17 GOMM ROAD, ",LONDON,SE162TY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
111181,AUTOSPOT LIMITED,"196 WEST END LANE, ",LONDON,NW61SG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
112020,AVARNGATE LIMITED,"4TH FLOOR 7/10 CHANDOS STREET, CAVENDISH SQUARE",LONDON,W1G9DQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
113502,AVONDALE CLEANING AND LAUNDRY SERVICES LIMITED,"27 OLD GLOUCESTER STREET, ",LONDON,WC1N3AX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
114119,AWESOME DRYCLEANERS LIMITED,"514 FULHAM ROAD, LONDON",LONDON,SW65NJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
115719,AYT DRY CLEANERS LTD,"190 BILLET ROAD, ",LONDON,E175DX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
115986,AZAM CLEANING UK LTD,"15 CHICHESTER COURT, WHITCHURCH LANE",EDGWARE,HA86BJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
117334,B M LAUNDERETTES LIMITED,"115 SPERLING ROAD, TOTTENHAM",LONDON,N176UJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
117672,B&D LAUNDROMAT LIMITED,"339 HALLEY ROAD, ",LONDON,E126UB,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
118566,B02T LTD,"20 KINFAUNS ROAD, ",ILFORD,IG39QL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
118775,B4 DRY CLEANING LIMITED,"540 KINGSBURY ROAD, KINGSBURY",LONDON,NW99HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
