,name,address_1,address_2,post_town,postcode,sic_code_1,lat,long,borough
97,MUNCH TIME LTD,"315 GRAY'S INN ROAD,",,"LONDON,",WC1X8PX,56102 - Unlicensed restaurants and cafes,51.530348,-0.121593,Camden
98,ST PANCRAS FISH & KEBAB LTD,327 GRAYS INN ROAD,,LONDON,WC1X8PX,56102 - Unlicensed restaurants and cafes,51.530348,-0.121593,Camden
99,GRILL MARKET LIMITED,10 THEOBALDS ROAD,,LONDON,WC1X8PN,56102 - Unlicensed restaurants and cafes,51.521519,-0.11388399999999999,Camden
100,SANO RESTAURANTS LIMITED,52-54 GRAYS INN ROAD,,LONDON,WC1X8LT,56102 - Unlicensed restaurants and cafes,51.519923999999996,-0.11200399999999999,Camden
101,BUBBLEOLOGY UK - FRANCHISE LTD,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,51.518925,-0.111382,Camden
102,BUBBLEOLOGY UK - I LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,51.518925,-0.111382,Camden
103,BUBBLEOLOGY UK - II LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,51.518925,-0.111382,Camden
104,BUBBLEOLOGY UK - III LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,51.518925,-0.111382,Camden
105,BUBBLEOLOGY UK - X LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,51.518925,-0.111382,Camden
106,ANDREWS CAFE LTD,160 GRAY'S INN ROAD,,LONDON,WC1X8ED,56102 - Unlicensed restaurants and cafes,51.522206,-0.113553,Camden
107,ZAIN AL SHAM LTD,90-92 GRAY'S INN ROAD,,LONDON,WC1X8AA,56102 - Unlicensed restaurants and cafes,51.520988,-0.112724,Camden
108,STUDHOLME LTD,11 HOLSWORTHY SQUARE,,LONDON,WC1X0AU,56102 - Unlicensed restaurants and cafes,51.522711,-0.113647,Camden
109,CAPITAL ARCHES GROUP LIMITED,5TH FLOOR,112 HIGH HOLBORN,LONDON,WC1V6JS,56102 - Unlicensed restaurants and cafes,51.517967,-0.11933800000000001,Camden
110,ALLS WELL THAT ENDS WELL LTD,TAXASSIST ACCOUNTANTS,31-33 HIGH HOLBORN,LONDON,WC1V6AX,56102 - Unlicensed restaurants and cafes,51.518499,-0.113418,Camden
111,ARCHY & MAFALDA LIMITED,TAXASSIST ACCOUNTANTS,31-33 HIGH HOLBORN,LONDON,WC1V6AX,56102 - Unlicensed restaurants and cafes,51.518499,-0.113418,Camden
112,JRC CAFES LIMITED,3 FIELD COURT,GRAYS INN,LONDON,WC1R5EF,56102 - Unlicensed restaurants and cafes,51.519178000000004,-0.114254,Camden
113,SUNNY SIDE UP CAFE LIMITED,3 FIELD COURT,,LONDON,WC1R5EF,56102 - Unlicensed restaurants and cafes,51.519178000000004,-0.114254,Camden
